Latitude,Longitude,PM25
31.5,28.125,23.000174
31.5,28.75,23.491997
31.5,29.375,24.7295
31.5,30.0,26.129065
31.5,30.625,25.829372
31.5,31.25,25.696646
31.5,31.875,25.761608
31.5,32.5,26.80899
31.5,33.125,28.064268
31.5,33.75,28.55937
31.5,34.375,29.303366
31.5,35.0,32.08547
31.5,35.625,30.555798
31.5,36.25,29.948755
31.5,36.875,29.124508
31.5,37.5,29.825768
31.5,38.125,30.311964
31.5,38.75,29.60957
31.5,39.375,28.937214
31.5,40.0,28.95625
31.5,40.625,29.520561
31.5,41.25,31.54206
31.5,41.875,32.40359
31.5,42.5,33.392624
31.5,43.125,34.88715
31.5,43.75,38.805355
31.5,44.375,41.880688
31.5,45.0,41.218956
31.5,45.625,43.31624
31.5,46.25,44.036373
31.5,46.875,48.15563
31.5,47.5,47.57342
32.0,-28.125,5.021942
32.0,-27.5,5.2166457
32.0,-26.875,5.3896823
32.0,-26.25,5.6939087
32.0,-25.625,5.981186
32.0,-25.0,5.972264
32.0,-24.375,5.8476143
32.0,-23.75,5.793087
32.0,-23.125,5.795598
32.0,-22.5,5.7105317
32.0,-21.875,5.5953236
32.0,-21.25,5.5272183
32.0,-20.625,5.728436
32.0,-20.0,5.870992
32.0,-19.375,5.9843073
32.0,-18.75,6.114138
32.0,-18.125,6.3065057
32.0,-17.5,6.537289
32.0,-16.875,7.017482
32.0,-16.25,7.641729
32.0,-15.625,8.116316
32.0,-15.0,8.365305
32.0,-14.375,8.568289
32.0,-13.75,8.972631
32.0,-13.125,9.310431
32.0,-12.5,9.225109
32.0,-11.875,9.204046
32.0,-11.25,9.086783
32.0,-10.625,9.124223
32.0,-10.0,9.80795
32.0,-9.375,11.849911
32.0,-8.75,14.381167
32.0,-8.125,16.29413
32.0,-7.5,17.45477
32.0,-6.875,19.156494
32.0,-6.25,20.16333
32.0,-5.625,21.395016
32.0,-5.0,22.723518
32.0,-4.375,23.775763
32.0,-3.75,24.7823
32.0,-3.125,26.63397
32.0,-2.5,28.286686
32.0,-1.875,28.532864
32.0,-1.25,29.90083
32.0,-0.625,31.046364
32.0,0.0,32.221203
32.0,0.625,33.43961
32.0,1.25,33.9027
32.0,1.875,34.522682
32.0,2.5,36.438133
32.0,3.125,39.17733
32.0,3.75,43.730965
32.0,4.375,49.357967
32.0,5.0,56.71632
32.0,5.625,63.988636
32.0,6.25,67.147606
32.0,6.875,70.95963
32.0,7.5,72.06473
32.0,8.125,67.38542
32.0,8.75,62.856514
32.0,9.375,58.4787
32.0,10.0,50.620495
32.0,10.625,46.253162
32.0,11.25,46.72728
