Latitude,Longitude,Air Pollution Level
34.0,33.75,4.255756e-08
34.0,34.375,4.1797446e-08
34.0,35.0,4.126302e-08
34.0,35.625,3.8558856e-08
34.0,36.25,4.3723585e-08
34.0,36.875,4.4655295e-08
34.0,37.5,4.4472397e-08
34.0,38.125,4.4131323e-08
34.0,38.75,4.4162153e-08
34.0,39.375,4.4474262e-08
34.0,40.0,4.4725596e-08
34.0,40.625,4.492671e-08
34.0,41.25,4.542186e-08
34.0,41.875,4.575923e-08
34.0,42.5,4.5475836e-08
34.0,43.125,4.3249692e-08
34.0,43.75,4.0635975e-08
34.0,44.375,4.501979e-08
34.0,45.0,4.8702848e-08
34.0,45.625,5.1293988e-08
34.0,46.25,5.239646e-08
34.0,46.875,5.177395e-08
34.0,47.5,5.1586724e-08
34.5,-28.125,2.6825292e-08
34.5,-27.5,2.6899018e-08
34.5,-26.875,2.7025825e-08
34.5,-26.25,2.7196904e-08
34.5,-25.625,2.7354725e-08
34.5,-25.0,2.7510593e-08
34.5,-24.375,2.762933e-08
34.5,-23.75,2.7743326e-08
34.5,-23.125,2.7863447e-08
34.5,-22.5,2.7943425e-08
34.5,-21.875,2.8009477e-08
34.5,-21.25,2.8073021e-08
34.5,-20.625,2.8162107e-08
34.5,-20.0,2.829701e-08
34.5,-19.375,2.8494764e-08
34.5,-18.75,2.8758976e-08
34.5,-18.125,2.9047595e-08
34.5,-17.5,2.9309016e-08
34.5,-16.875,2.9584267e-08
34.5,-16.25,2.9908712e-08
34.5,-15.625,3.0193135e-08
34.5,-15.0,3.0461177e-08
34.5,-14.375,3.0789295e-08
34.5,-13.75,3.1200837e-08
34.5,-13.125,3.1597107e-08
34.5,-12.5,3.1987884e-08
34.5,-11.875,3.2290828e-08
34.5,-11.25,3.265684e-08
34.5,-10.625,3.304687e-08
34.5,-10.0,3.3628563e-08
34.5,-9.375,3.4205957e-08
34.5,-8.75,3.4976892e-08
34.5,-8.125,3.56636e-08
34.5,-7.5,3.626181e-08
34.5,-6.875,3.6857227e-08
34.5,-6.25,3.5693546e-08
34.5,-5.625,3.5154628e-08
34.5,-5.0,3.5972366e-08
34.5,-4.375,3.7313683e-08
34.5,-3.75,3.8409183e-08
34.5,-3.125,3.906519e-08
34.5,-2.5,3.9271736e-08
34.5,-1.875,3.935647e-08
34.5,-1.25,3.9317527e-08
34.5,-0.625,3.897983e-08
34.5,0.0,3.862073e-08
34.5,0.625,3.8657106e-08
34.5,1.25,3.8632866e-08
34.5,1.875,3.839941e-08
34.5,2.5,3.8242145e-08
34.5,3.125,3.824872e-08
34.5,3.75,3.822669e-08
34.5,4.375,3.81213e-08
34.5,5.0,3.7871995e-08
34.5,5.625,3.8025686e-08
34.5,6.25,3.8576616e-08
34.5,6.875,3.873071e-08
34.5,7.5,3.8924856e-08
34.5,8.125,3.8982115e-08
34.5,8.75,3.876104e-08
34.5,9.375,3.8582588e-08
34.5,10.0,3.8931855e-08
34.5,10.625,3.984308e-08
34.5,11.25,4.0012946e-08
34.5,11.875,3.964667e-08
34.5,12.5,3.932964e-08
34.5,13.125,3.9180936e-08
34.5,13.75,3.9001833e-08
34.5,14.375,3.9010896e-08
34.5,15.0,3.888483e-08
34.5,15.625,3.8900442e-08
34.5,16.25,3.892093e-08
34.5,16.875,3.9087112e-08
34.5,17.5,3.933113e-08
34.5,18.125,3.9619312e-08
34.5,18.75,3.9888388e-08
34.5,19.375,4.0048928e-08
34.5,20.0,4.0200646e-08
34.5,20.625,4.0363478e-08
34.5,21.25,4.0501146e-08
34.5,21.875,4.080424e-08
34.5,22.5,4.1237964e-08
34.5,23.125,4.1562327e-08
34.5,23.75,4.2088683e-08
34.5,24.375,4.28642e-08
34.5,25.0,4.343504e-08
