Latitude,Longitude,Air Pollution Level
31.5,18.125,1.03186445e-10
31.5,18.75,1.3193895e-10
31.5,19.375,2.211887e-10
31.5,20.0,6.104912e-10
31.5,20.625,7.563808e-10
31.5,21.25,4.8400567e-10
31.5,21.875,3.840416e-10
31.5,22.5,3.5789025e-10
31.5,23.125,3.2576616e-10
31.5,23.75,3.8214973e-10
31.5,24.375,2.9384764e-10
31.5,25.0,2.8455963e-10
31.5,25.625,2.11304e-10
31.5,26.25,1.6491107e-10
31.5,26.875,2.0181551e-10
31.5,27.5,2.2703461e-10
31.5,28.125,2.4038826e-10
31.5,28.75,4.660672e-10
31.5,29.375,1.4728778e-09
31.5,30.0,2.4146622e-09
31.5,30.625,1.3504137e-09
31.5,31.25,1.5186176e-09
31.5,31.875,1.4157462e-09
31.5,32.5,9.129995e-10
31.5,33.125,7.270948e-10
31.5,33.75,1.5570278e-09
31.5,34.375,5.1548437e-09
31.5,35.0,1.2425899e-08
31.5,35.625,4.9924522e-09
31.5,36.25,3.5316146e-09
31.5,36.875,2.096957e-09
31.5,37.5,1.3545991e-09
31.5,38.125,7.407049e-10
31.5,38.75,6.0021677e-10
31.5,39.375,4.6825177e-10
31.5,40.0,4.3824924e-10
31.5,40.625,4.796147e-10
31.5,41.25,5.760075e-10
31.5,41.875,6.4131767e-10
31.5,42.5,6.287775e-10
31.5,43.125,7.7115614e-10
31.5,43.75,1.4376962e-09
31.5,44.375,3.5714256e-09
31.5,45.0,5.258798e-09
31.5,45.625,4.073262e-09
31.5,46.25,2.5466822e-09
31.5,46.875,1.7126106e-09
31.5,47.5,1.4708371e-09
32.0,-28.125,2.5090085e-11
32.0,-27.5,2.3951644e-11
32.0,-26.875,2.3812717e-11
32.0,-26.25,2.3777235e-11
32.0,-25.625,2.3287657e-11
32.0,-25.0,2.3056277e-11
32.0,-24.375,2.3246474e-11
32.0,-23.75,2.4261846e-11
32.0,-23.125,2.4416672e-11
32.0,-22.5,2.4695643e-11
32.0,-21.875,2.6346526e-11
32.0,-21.25,2.8664454e-11
32.0,-20.625,3.078202e-11
32.0,-20.0,3.322937e-11
32.0,-19.375,3.7361076e-11
32.0,-18.75,4.529831e-11
32.0,-18.125,5.868205e-11
32.0,-17.5,7.324919e-11
32.0,-16.875,8.2346796e-11
32.0,-16.25,7.011384e-11
32.0,-15.625,7.0046254e-11
32.0,-15.0,8.732798e-11
32.0,-14.375,1.0305526e-10
32.0,-13.75,1.0631897e-10
32.0,-13.125,9.314785e-11
32.0,-12.5,7.914985e-11
32.0,-11.875,7.977642e-11
32.0,-11.25,9.592931e-11
32.0,-10.625,1.4552005e-10
32.0,-10.0,2.8968536e-10
32.0,-9.375,7.039562e-10
32.0,-8.75,1.0150116e-09
32.0,-8.125,1.266023e-09
32.0,-7.5,1.0953223e-09
32.0,-6.875,8.953076e-10
32.0,-6.25,6.5976036e-10
32.0,-5.625,4.101306e-10
32.0,-5.0,3.8716935e-10
32.0,-4.375,4.64819e-10
32.0,-3.75,3.7863593e-10
32.0,-3.125,3.3273517e-10
32.0,-2.5,3.621113e-10
32.0,-1.875,3.7539033e-10
32.0,-1.25,3.468047e-10
32.0,-0.625,3.242402e-10
32.0,0.0,3.1587705e-10
32.0,0.625,2.8778993e-10
32.0,1.25,2.6556088e-10
32.0,1.875,2.6990452e-10
32.0,2.5,2.968086e-10
32.0,3.125,3.4671913e-10
32.0,3.75,4.269976e-10
32.0,4.375,3.6878495e-10
32.0,5.0,4.2659004e-10
32.0,5.625,4.733179e-10
32.0,6.25,4.869218e-10
32.0,6.875,3.2282294e-10
32.0,7.5,3.006378e-10
32.0,8.125,3.050358e-10
32.0,8.75,2.9219027e-10
32.0,9.375,2.9436717e-10
32.0,10.0,3.2631245e-10
32.0,10.625,4.117709e-10
32.0,11.25,5.337054e-10
32.0,11.875,7.422426e-10
32.0,12.5,1.0370035e-09
32.0,13.125,9.807198e-10
32.0,13.75,8.360791e-10
32.0,14.375,8.9944485e-10
32.0,15.0,1.186587e-09
32.0,15.625,4.9270815e-10
32.0,16.25,1.929093e-10
32.0,16.875,1.3553221e-10
