type,name,latitude_deg,longitude_deg,elevation_ft,iso_country,gps_code,iata_code
small_airport,Aerodrom Ozerki,55.144536,26.829358,,BY,UMMK,
small_airport,Gorki,54.30052,30.948463,,BY,,
small_airport,Dzerzhinsky Highway Strip,53.68874,27.339573,690,BY,,
small_airport,Bobruisk Aeroclub,53.21033,29.129039,500,BY,UMNS,
small_airport,Karolin Airfield,53.634045,23.737307,,BY,,
small_airport,Voigovka Airfield,53.621279,27.550494,594,BY,,
small_airport,Kisyali Airfield,54.028259,26.924768,,BY,,
small_airport,Vidzy Airstrip,55.37879,26.626022,466,BY,,
small_airport,Kliepačy Airstrip,52.7040425,24.3782919,,BY,,
small_airport,Suklina Airstrip,55.2516188,27.9213048,,BY,,
small_airport,Mazalovo Airstrip,53.973285,31.58801,630,BY,,
small_airport,Pribytki Air Base,52.30500031,31.16329956,456,BY,,
small_airport,Luninets Air Base,52.275002,26.775,472,BY,UMNL,
small_airport,Cark airfield,54.163753,-2.962299,20,GB,,
small_airport,Altiport de Croix de Coeur,46.12338,7.23425,,CH,,
small_airport,Altisurface du Glacier de Prasfleuri,46.064289,7.354317,,CH,,
small_airport,Altiport du Glacier de Tsanfleuron,46.3206526,7.2328797,,CH,,
small_airport,Borek,50.2108813,14.6574049,,CZ,,
small_airport,Zvole Western,49.4747722,16.2148815,,CZ,,
small_airport,Pěnčín,49.5682909,16.9991842,,CZ,,
small_airport,Bezdružice Airstrip,49.899713,12.964956,,CZ,,
small_airport,Letisko Veľká Ida,48.5992279,21.1598857,,SK,,
small_airport,Bynovec,50.826389,14.2675,,CZ,,
small_airport,Česká Lípa Ramŝ,50.641667,14.541389,,CZ,,
small_airport,Česká Třebová Airstrip,49.91,16.455278,,CZ,,
small_airport,Český Dub,50.678056,14.999722,,CZ,,
small_airport,Vodňany Airstrip,49.12821,14.17325,,CZ,,
small_airport,Částkovice private ULM,49.4093492,15.1436869,1926,CZ,,
small_airport,Private ULM Chabeřice,49.7475687,15.0642404,,CZ,,
small_airport,Studenec Ultralight,50.549584,15.535908,1804,CZ,,
small_airport,Teplice,50.620833,13.810556,1148,CZ,,
small_airport,Chotěšov UL,49.651667,13.189722,1181,CZ,,
small_airport,Kotvrdovice UL,49.364167,16.784167,1860,CZ,,
small_airport,Kramolín UL,48.915,14.726389,1650,CZ,,
small_airport,Jiřičky UL,49.552222,15.155556,1683,CZ,,
small_airport,Kaplice UL,48.718611,14.450556,2100,CZ,,
small_airport,Frymburk UL,48.698611,14.1975,2618,CZ,,
small_airport,Druzcov U Lípy UL,50.728056,14.924722,1509,CZ,,
small_airport,Stará voda,49.9971221,12.5773792,,CZ,,
small_airport,Vrátkov,50.039444,14.821667,1033,CZ,,
small_airport,BURANOS Aires UL,50.008611,14.039167,1247,CZ,,
