Latitude,Longitude,PM25
33.0,-9.375,8.996742
33.0,-8.75,11.034156
33.0,-8.125,13.746715
33.0,-7.5,15.454202
33.0,-6.875,15.739973
33.0,-6.25,15.798439
33.0,-5.625,17.26362
33.0,-5.0,19.084251
33.0,-4.375,20.250668
33.0,-3.75,20.744099
33.0,-3.125,21.586912
33.0,-2.5,22.93153
33.0,-1.875,24.192225
33.0,-1.25,25.113369
33.0,-0.625,25.594187
33.0,0.0,26.663067
33.0,0.625,28.058273
33.0,1.25,28.970472
33.0,1.875,29.56278
33.0,2.5,31.175896
33.0,3.125,33.4043
33.0,3.75,37.61615
33.0,4.375,45.40241
33.0,5.0,55.82583
33.0,5.625,68.21211
33.0,6.25,78.27767
33.0,6.875,83.88027
33.0,7.5,83.83023
33.0,8.125,80.77554
33.0,8.75,76.270905
33.0,9.375,64.98257
33.0,10.0,46.70064
33.0,10.625,46.46746
33.0,11.25,46.17848
33.0,11.875,44.661495
33.0,12.5,34.518284
33.0,13.125,31.47888
33.0,13.75,30.883417
33.0,14.375,31.09436
33.0,15.0,28.907347
33.0,15.625,26.479433
33.0,16.25,25.055664
33.0,16.875,24.025976
33.0,17.5,23.31308
33.0,18.125,22.971409
33.0,18.75,22.20581
33.0,19.375,21.731743
33.0,20.0,21.047424
33.0,20.625,20.274078
33.0,21.25,20.098839
33.0,21.875,20.07621
33.0,22.5,19.627314
33.0,23.125,19.243784
33.0,23.75,18.87537
33.0,24.375,18.497768
33.0,25.0,18.328083
33.0,25.625,18.291138
33.0,26.25,18.371712
33.0,26.875,18.523699
33.0,27.5,18.818802
33.0,28.125,19.191212
33.0,28.75,19.699049
33.0,29.375,20.014233
33.0,30.0,20.261806
33.0,30.625,20.598398
33.0,31.25,20.853125
33.0,31.875,20.837843
33.0,32.5,20.983038
33.0,33.125,21.369513
33.0,33.75,21.967566
33.0,34.375,22.934956
33.0,35.0,25.19751
33.0,35.625,28.189312
33.0,36.25,28.20167
33.0,36.875,26.78083
33.0,37.5,25.896719
33.0,38.125,25.96464
33.0,38.75,26.05536
33.0,39.375,26.548086
33.0,40.0,27.43867
33.0,40.625,28.991497
33.0,41.25,31.28437
33.0,41.875,33.306046
33.0,42.5,38.088963
33.0,43.125,42.964012
33.0,43.75,45.469387
33.0,44.375,43.830765
33.0,45.0,38.651382
33.0,45.625,39.908043
33.0,46.25,38.256
33.0,46.875,33.651577
33.0,47.5,33.121647
33.5,-28.125,4.566369
33.5,-27.5,4.82138
33.5,-26.875,4.979422
33.5,-26.25,5.1030493
33.5,-25.625,5.2482195
33.5,-25.0,5.300055
33.5,-24.375,5.1981378
33.5,-23.75,5.081625
33.5,-23.125,5.027772
33.5,-22.5,4.9032574
33.5,-21.875,4.7989545
33.5,-21.25,4.820684
33.5,-20.625,4.9116206
33.5,-20.0,4.971256
33.5,-19.375,5.0823736
33.5,-18.75,5.3012576
33.5,-18.125,5.486858
33.5,-17.5,5.701614
33.5,-16.875,5.9320407
33.5,-16.25,6.150005
33.5,-15.625,6.3927712
33.5,-15.0,6.8619757
33.5,-14.375,7.1895576
33.5,-13.75,7.643873
33.5,-13.125,7.9718704
33.5,-12.5,7.90039
33.5,-11.875,7.7099953
33.5,-11.25,7.646956
33.5,-10.625,7.588226
33.5,-10.0,7.7505445
33.5,-9.375,8.2197075
33.5,-8.75,9.317881
33.5,-8.125,11.144565
33.5,-7.5,13.819346
33.5,-6.875,15.033117
33.5,-6.25,14.854297
33.5,-5.625,16.34055
33.5,-5.0,18.045439
33.5,-4.375,18.91868
33.5,-3.75,19.503368
33.5,-3.125,20.06609
33.5,-2.5,21.095978
33.5,-1.875,22.384212
33.5,-1.25,23.454552
33.5,-0.625,23.810295
33.5,0.0,24.843967
33.5,0.625,25.844036
33.5,1.25,26.659998
33.5,1.875,27.909975
33.5,2.5,30.17638
33.5,3.125,33.104317
33.5,3.75,37.62361
33.5,4.375,45.54932
33.5,5.0,58.09225
33.5,5.625,75.98899
33.5,6.25,89.913795
33.5,6.875,95.34078
33.5,7.5,92.20464
33.5,8.125,86.31767
33.5,8.75,77.48204
33.5,9.375,64.34623
33.5,10.0,43.75992
33.5,10.625,40.317863
33.5,11.25,34.5878
33.5,11.875,32.641464
33.5,12.5,28.703663
33.5,13.125,27.536465
33.5,13.75,27.580269
33.5,14.375,27.534386
33.5,15.0,26.27998
33.5,15.625,24.827545
33.5,16.25,23.957817
33.5,16.875,23.172619
33.5,17.5,22.51652
33.5,18.125,22.121891
33.5,18.75,21.321701
33.5,19.375,20.706532
33.5,20.0,20.171638
33.5,20.625,19.461637
33.5,21.25,19.10916
33.5,21.875,18.736147
33.5,22.5,18.2788
33.5,23.125,17.956774
33.5,23.75,17.752619
33.5,24.375,17.597153
33.5,25.0,17.620985
33.5,25.625,17.789265
33.5,26.25,17.986712
33.5,26.875,18.224836
33.5,27.5,18.474588
33.5,28.125,18.85622
33.5,28.75,19.136267
33.5,29.375,19.228868
33.5,30.0,19.421022
33.5,30.625,19.734432
33.5,31.25,19.960848
33.5,31.875,19.977793
33.5,32.5,20.07224
33.5,33.125,20.313232
33.5,33.75,20.857347
33.5,34.375,21.525723
33.5,35.0,23.739363
33.5,35.625,28.898788
33.5,36.25,28.15011
33.5,36.875,26.159027
33.5,37.5,25.558601
33.5,38.125,25.385687
33.5,38.75,25.741575
33.5,39.375,26.442604
33.5,40.0,28.240927
33.5,40.625,30.310581
33.5,41.25,33.378708
33.5,41.875,36.180325
33.5,42.5,42.130074
33.5,43.125,45.714085
33.5,43.75,44.559883
33.5,44.375,40.38787
33.5,45.0,36.302254
33.5,45.625,34.18455
33.5,46.25,32.11968
33.5,46.875,31.423223
33.5,47.5,31.161968
34.0,-28.125,4.4489875
34.0,-27.5,4.683257
34.0,-26.875,4.801797
34.0,-26.25,4.9041553
34.0,-25.625,5.0412803
34.0,-25.0,5.114043
34.0,-24.375,4.9988327
34.0,-23.75,4.926462
34.0,-23.125,4.8716836
34.0,-22.5,4.7573876
34.0,-21.875,4.66943
34.0,-21.25,4.660497
34.0,-20.625,4.750603
34.0,-20.0,4.815301
34.0,-19.375,4.9070635
34.0,-18.75,5.058798
34.0,-18.125,5.2074227
34.0,-17.5,5.4748507
34.0,-16.875,5.70297
34.0,-16.25,5.8730984
34.0,-15.625,6.0946403
34.0,-15.0,6.580546
34.0,-14.375,7.0048065
34.0,-13.75,7.390225
34.0,-13.125,7.58985
34.0,-12.5,7.455367
34.0,-11.875,7.2309475
34.0,-11.25,7.213778
34.0,-10.625,7.1778584
34.0,-10.0,7.3538494
34.0,-9.375,7.8174663
34.0,-8.75,8.620319
34.0,-8.125,9.5202465
34.0,-7.5,10.921887
34.0,-6.875,12.704783
34.0,-6.25,14.17537
34.0,-5.625,15.27786
34.0,-5.0,16.484581
34.0,-4.375,17.673157
34.0,-3.75,18.347698
34.0,-3.125,18.617783
34.0,-2.5,19.583973
34.0,-1.875,21.045033
34.0,-1.25,21.258545
34.0,-0.625,21.615967
34.0,0.0,23.056202
34.0,0.625,24.031569
34.0,1.25,24.829762
34.0,1.875,26.075363
34.0,2.5,28.891623
34.0,3.125,33.29535
34.0,3.75,38.803463
34.0,4.375,47.73239
34.0,5.0,61.876102
34.0,5.625,80.5252
34.0,6.25,90.67679
34.0,6.875,84.861824
34.0,7.5,72.512634
34.0,8.125,58.10021
34.0,8.75,51.92239
34.0,9.375,50.458218
34.0,10.0,43.472412
34.0,10.625,33.893215
34.0,11.25,30.376894
34.0,11.875,28.372063
34.0,12.5,25.810368
34.0,13.125,25.030226
34.0,13.75,24.846613
34.0,14.375,24.792479
34.0,15.0,24.029621
34.0,15.625,23.227459
34.0,16.25,22.8785
34.0,16.875,22.262417
34.0,17.5,21.515274
34.0,18.125,21.041105
34.0,18.75,20.289051
34.0,19.375,19.72246
34.0,20.0,19.383154
34.0,20.625,18.817665
34.0,21.25,18.56416
34.0,21.875,18.180662
34.0,22.5,17.62576
34.0,23.125,17.111925
34.0,23.75,16.917099
34.0,24.375,16.97035
34.0,25.0,17.118402
34.0,25.625,17.483845
34.0,26.25,17.834175
34.0,26.875,18.111841
34.0,27.5,18.409916
34.0,28.125,18.660105
34.0,28.75,18.853651
34.0,29.375,18.936422
34.0,30.0,19.142197
34.0,30.625,19.34632
34.0,31.25,19.528517
34.0,31.875,19.543879
34.0,32.5,19.537634
34.0,33.125,19.699394
34.0,33.75,20.161118
34.0,34.375,20.796158
34.0,35.0,22.508764
34.0,35.625,25.686947
34.0,36.25,28.003366
34.0,36.875,25.249987
34.0,37.5,24.644981
34.0,38.125,25.665796
34.0,38.75,26.065145
34.0,39.375,27.161366
34.0,40.0,30.320936
34.0,40.625,33.142147
34.0,41.25,36.17059
34.0,41.875,39.38151
34.0,42.5,44.2548
34.0,43.125,48.794014
34.0,43.75,44.620373
34.0,44.375,37.4405
34.0,45.0,33.39583
34.0,45.625,32.046856
34.0,46.25,30.974848
34.0,46.875,30.710552
34.0,47.5,30.480234
34.5,-28.125,4.3680544
34.5,-27.5,4.5548
34.5,-26.875,4.6661043
34.5,-26.25,4.761712
34.5,-25.625,4.864317
34.5,-25.0,4.906944
34.5,-24.375,4.8527145
34.5,-23.75,4.8006587
34.5,-23.125,4.7700806
34.5,-22.5,4.682926
34.5,-21.875,4.5942297
34.5,-21.25,4.553116
34.5,-20.625,4.614512
34.5,-20.0,4.6839433
34.5,-19.375,4.782572
34.5,-18.75,4.848546
34.5,-18.125,4.96748
34.5,-17.5,5.240635
34.5,-16.875,5.491294
34.5,-16.25,5.672436
34.5,-15.625,6.0003924
34.5,-15.0,6.4976115
34.5,-14.375,6.918359
34.5,-13.75,7.1386547
34.5,-13.125,7.2186003
34.5,-12.5,7.043777
34.5,-11.875,6.8431625
34.5,-11.25,6.84718
34.5,-10.625,6.839204
34.5,-10.0,7.1136065
34.5,-9.375,7.632934
34.5,-8.75,8.396299
34.5,-8.125,9.007366
34.5,-7.5,9.626042
34.5,-6.875,11.021366
34.5,-6.25,13.34596
34.5,-5.625,15.278652
34.5,-5.0,17.038588
34.5,-4.375,17.673311
34.5,-3.75,17.823965
34.5,-3.125,17.401773
34.5,-2.5,18.37727
34.5,-1.875,20.668192
34.5,-1.25,19.954178
34.5,-0.625,19.910957
34.5,0.0,20.910727
34.5,0.625,22.121431
34.5,1.25,23.4885
34.5,1.875,24.800482
34.5,2.5,27.814613
34.5,3.125,32.47941
34.5,3.75,36.75223
34.5,4.375,44.4451
34.5,5.0,54.009743
34.5,5.625,59.85733
34.5,6.25,54.158165
34.5,6.875,44.882656
34.5,7.5,38.090046
34.5,8.125,33.97628
34.5,8.75,32.02301
34.5,9.375,32.344585
34.5,10.0,34.504795
34.5,10.625,28.768023
34.5,11.25,26.67359
34.5,11.875,25.111174
34.5,12.5,23.545773
34.5,13.125,23.124693
34.5,13.75,22.739838
34.5,14.375,22.865248
34.5,15.0,22.550043
34.5,15.625,21.862545
34.5,16.25,21.581589
34.5,16.875,20.938972
34.5,17.5,20.156435
34.5,18.125,19.838577
34.5,18.75,19.317747
34.5,19.375,18.95387
34.5,20.0,18.750813
34.5,20.625,18.382614
34.5,21.25,18.028349
34.5,21.875,17.631905
34.5,22.5,17.050638
34.5,23.125,16.636393
34.5,23.75,16.57216
34.5,24.375,16.67527
34.5,25.0,16.860163
34.5,25.625,17.332342
34.5,26.25,17.794794
34.5,26.875,18.139637
34.5,27.5,18.179626
34.5,28.125,18.253141
34.5,28.75,18.57208
34.5,29.375,18.87377
34.5,30.0,19.117493
34.5,30.625,19.262436
34.5,31.25,19.383755
34.5,31.875,19.363049
34.5,32.5,19.273602
34.5,33.125,19.644554
34.5,33.75,19.96253
34.5,34.375,20.447922
34.5,35.0,21.327362
34.5,35.625,23.58399
34.5,36.25,26.525352
34.5,36.875,24.56379
34.5,37.5,24.37537
34.5,38.125,26.562283
34.5,38.75,26.27896
34.5,39.375,29.788397
34.5,40.0,34.822807
34.5,40.625,36.597176
34.5,41.25,39.107166
34.5,41.875,40.531525
34.5,42.5,43.93675
34.5,43.125,44.16853
34.5,43.75,38.908623
34.5,44.375,34.368908
34.5,45.0,31.251036
34.5,45.625,30.26719
34.5,46.25,29.578444
34.5,46.875,29.702728
34.5,47.5,29.767912
35.0,-28.125,4.334071
35.0,-27.5,4.4911127
35.0,-26.875,4.5835
35.0,-26.25,4.6585846
35.0,-25.625,4.712277
35.0,-25.0,4.780231
35.0,-24.375,4.772953
35.0,-23.75,4.736064
35.0,-23.125,4.717699
35.0,-22.5,4.630911
35.0,-21.875,4.543518
35.0,-21.25,4.48859
35.0,-20.625,4.5212665
35.0,-20.0,4.5816174
35.0,-19.375,4.7045403
35.0,-18.75,4.753798
35.0,-18.125,4.8429346
35.0,-17.5,5.1208735
35.0,-16.875,5.393409
35.0,-16.25,5.6534452
35.0,-15.625,6.013383
35.0,-15.0,6.384797
35.0,-14.375,6.713839
35.0,-13.75,6.815431
35.0,-13.125,6.891429
35.0,-12.5,6.716814
35.0,-11.875,6.5598264
35.0,-11.25,6.6365623
35.0,-10.625,6.6898994
35.0,-10.0,6.962784
35.0,-9.375,7.4472013
35.0,-8.75,8.141312
35.0,-8.125,8.661832
35.0,-7.5,9.256953
35.0,-6.875,10.176791
35.0,-6.25,11.850533
35.0,-5.625,14.654875
35.0,-5.0,16.19171
35.0,-4.375,16.209347
35.0,-3.75,15.722406
35.0,-3.125,15.255704
35.0,-2.5,16.166655
35.0,-1.875,18.160002
35.0,-1.25,17.979126
35.0,-0.625,18.437775
35.0,0.0,19.228539
35.0,0.625,20.15231
35.0,1.25,21.887995
35.0,1.875,23.646818
35.0,2.5,26.88566
35.0,3.125,30.922075
35.0,3.75,34.095478
35.0,4.375,39.06281
35.0,5.0,42.452816
35.0,5.625,39.32849
35.0,6.25,34.44663
35.0,6.875,32.21158
35.0,7.5,30.866499
35.0,8.125,30.017937
35.0,8.75,28.115366
35.0,9.375,26.773438
35.0,10.0,26.853369
35.0,10.625,26.374992
35.0,11.25,24.455112
35.0,11.875,23.07
35.0,12.5,22.093056
35.0,13.125,21.767105
35.0,13.75,21.453512
35.0,14.375,21.432047
35.0,15.0,21.212622
35.0,15.625,20.789497
35.0,16.25,20.378372
35.0,16.875,19.810013
35.0,17.5,18.979593
35.0,18.125,18.646172
35.0,18.75,18.34105
35.0,19.375,18.154236
35.0,20.0,18.00879
35.0,20.625,17.762846
35.0,21.25,17.534319
35.0,21.875,17.242624
35.0,22.5,16.739725
35.0,23.125,16.375624
35.0,23.75,16.451296
35.0,24.375,16.772926
35.0,25.0,17.078596
35.0,25.625,17.51956
35.0,26.25,17.928589
35.0,26.875,18.28613
35.0,27.5,18.207272
35.0,28.125,18.230139
35.0,28.75,18.697641
35.0,29.375,19.144361
35.0,30.0,19.413897
35.0,30.625,19.489077
35.0,31.25,19.551092
35.0,31.875,19.45117
